"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Zipcode_Group","Count"
"Oakland Parks, Recreation & Youth Development","Oakland Fine Art Summer School","Summer 2023","Summer Academic & Enrichment","Annie Hines",213,"Homeless/Transitioning",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94601",1
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94602",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94603",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94605",4
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94606",2
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94607",13
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94608",6
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94609",3
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94610",1
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94611",1
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94612",1
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94613",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94618",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94619",1
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94621",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94704",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94705",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"94720",0
"Prescott Circus Theatre","Summer Circus and Academic Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",33,"Homeless/Transitioning",0
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94601",35
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94602",7
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94603",10
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94605",22
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94606",21
"The Youth Employment Partnership, Inc.","Summer Jobs for Successful Futures (SJSF)","Summer 2023","Oakland Summer Youth Employment","Annie Hines",146,"94607",12
